k,F1
1,0.78025
2,0.7717499999999998
3,0.81425
4,0.81125
5,0.82025
6,0.82575
7,0.8272499999999999
8,0.8324999999999999
9,0.8360000000000001
10,0.83675
11,0.84275
12,0.8457500000000001
13,0.8470000000000001
14,0.84825
15,0.8462500000000001
16,0.8535
17,0.857
18,0.85975
19,0.858
20,0.85875
21,0.8567499999999999
22,0.8575000000000002
23,0.8572499999999998
24,0.8567499999999999
25,0.8535
26,0.8530000000000001
27,0.8547499999999999
28,0.8535
29,0.8539999999999999
30,0.85375
31,0.85375
32,0.8550000000000001
33,0.8535
34,0.8542500000000001
35,0.8525
36,0.853
37,0.85375
38,0.8542500000000001
39,0.85375
40,0.8567499999999999
41,0.8552500000000001
42,0.8574999999999999
43,0.8554999999999999
44,0.85925
45,0.8552500000000001
46,0.8567500000000001
47,0.8535
48,0.8545
49,0.8552500000000001
50,0.85375
51,0.8554999999999999
52,0.8569999999999999
53,0.8555000000000001
54,0.8555000000000001
55,0.8560000000000001
56,0.8574999999999999
57,0.85725
58,0.8564999999999999
59,0.8547499999999999
60,0.8552500000000001
61,0.8532499999999998
62,0.8550000000000001
63,0.8552500000000001
64,0.8557500000000001
65,0.8572500000000002
66,0.858
67,0.85725
68,0.85825
69,0.85825
70,0.8554999999999999
71,0.8557500000000001
72,0.8550000000000001
73,0.8550000000000001
74,0.85625
75,0.8564999999999999
76,0.858
77,0.8579999999999999
78,0.8577499999999999
79,0.85775
80,0.8574999999999999
81,0.85825
82,0.859
83,0.8575000000000002
84,0.85825
85,0.8554999999999999
86,0.85925
87,0.8567500000000001
88,0.85725
89,0.85725
90,0.859
91,0.85725
92,0.85775
93,0.8557499999999999
94,0.857
95,0.85375
96,0.8575000000000002
97,0.8554999999999999
98,0.85725
99,0.8552500000000001
